Length,Count
1,1
4,12
5,5
6,4
7,28
8,129
9,150
10,332
11,402
12,545
13,1251
14,1512
15,3199
16,3359
17,3444
18,4093
19,4101
20,4741
21,3178
22,3092
23,4468
24,5138
25,8342
26,9517
27,7471
28,8908
29,11313
30,13793
31,5802
32,6610
33,7156
34,7647
35,6047
36,5445
37,5276
38,5836
39,5348
40,6052
41,6280
42,6769
43,6890
44,7411
45,7632
46,26710
47,11376
48,9764
49,9278
50,10614
51,11364
52,12253
53,12869
54,12841
55,13521
56,13067
57,12966
58,13129
59,13418
60,13341
61,13661
62,13008
63,13679
64,14402
65,13187
66,13651
67,12710
68,12361
69,11940
70,12210
71,12401
72,12276
73,11505
74,10500
75,10534
76,10056
77,9397
78,9056
79,8515
80,7864
81,7315
82,6945
83,6917
84,6378
85,6139
86,5492
87,5142
88,4587
89,4363
90,4099
91,3816
92,3487
93,3137
94,2812
95,2723
96,2465
97,2248
98,2075
99,1846
100,1706
101,1550
102,1432
103,1425
104,1371
105,1278
106,1214
107,1034
108,878
109,828
110,706
111,706
112,662
113,644
114,483
115,503
116,365
117,453
118,342
119,331
120,6396
121,197
122,202
123,181
124,173
125,165
126,128
127,98
128,78
129,78
130,57
131,66
132,60
133,48
134,56
135,51
136,60
137,55
138,71
139,69
140,98
141,80
142,61
143,68
144,59
145,50
146,30
147,35
148,37
149,40
150,40
151,28
152,30
153,40
154,41
155,81
156,47
157,43
158,61
159,84
160,55
161,110
162,96
163,42
164,39
165,47
166,54
167,88
168,76
169,100
170,36
171,29
172,20
173,37
174,37
175,87
176,112
177,137
178,97
179,61
180,82
181,177
182,72
183,37
184,95
185,72
186,56
187,41
188,58
189,27
190,10
191,18
192,51
193,61
194,43
195,31
196,13
197,38
198,102
199,150
200,61
201,34
202,32
203,25
204,18
205,28
206,17
207,20
208,12
209,22
210,15
211,23
212,33
213,24
214,25
215,16
216,21
217,37
218,25
219,22
220,22
221,15
222,14
223,13
224,15
225,22
226,18
227,18
228,13
229,16
230,13
231,19
232,20
233,12
234,15
235,22
236,8
237,9
238,7
239,6
240,9
241,6
242,6
243,16
244,9
245,11
246,8
247,10
248,11
249,11
250,9
251,14
252,11
253,6
254,22
255,10
256,24
257,15
258,21
259,7
260,14
261,32
262,22
263,30
264,15
265,32
266,24
267,32
268,16
269,10
270,36
271,30
272,31
273,15
274,14
275,16
276,38
277,34
278,44
279,28
280,24
281,29
282,34
283,9
284,37
285,25
286,25
287,55
288,17
289,17
290,33
291,31
292,62
293,35
294,29
295,60
296,105
297,22
298,92
299,137
300,78
301,48
302,37
303,20
304,26
305,30
306,32
307,35
308,19
309,31
310,23
311,20
312,27
313,18
314,14
315,22
316,12
317,21
318,9
319,7
320,14
321,15
322,13
323,9
324,13
325,14
326,18
327,9
328,13
329,37
330,15
331,7
332,10
333,6
334,2
335,10
336,5
337,8
338,4
339,2
340,7
341,4
342,6
343,5
344,6
345,4
346,2
347,7
348,3
349,13
350,4
351,2
353,14
354,7
355,25
356,71
357,11
358,33
359,28
360,44
361,48
362,21
363,62
364,47
365,103
366,94
367,82
368,84
369,48
370,109
371,34
372,67
373,77
374,108
375,109
376,65
377,99
378,90
379,75
380,128
381,103
382,142
383,91
384,83
385,93
386,136
387,178
388,101
389,140
390,106
391,90
392,79
393,67
394,114
395,82
396,119
397,68
398,76
399,139
400,98
401,55
402,122
403,89
404,75
405,55
406,48
407,54
408,95
409,68
410,53
411,78
412,45
413,37
414,46
415,47
416,46
417,47
418,35
419,27
420,46
421,50
422,46
423,33
424,27
425,23
426,20
427,36
428,50
429,52
430,32
431,26
432,10
433,25
434,58
435,47
436,36
437,29
438,24
439,19
440,26
441,39
442,34
443,39
444,28
445,24
446,14
447,24
448,64
449,47
450,16
451,29
452,10
453,38
454,22
455,28
456,36
457,45
458,28
459,6
460,16
461,40
462,73
463,67
464,35
465,49
466,29
467,38
468,40
469,43
470,58
471,45
472,36
473,19
474,16
475,12
476,18
477,35
478,30
479,22
480,24
481,13
482,22
483,43
484,30
485,12
486,19
487,11
488,23
489,3
490,11
491,10
492,8
493,11
494,7
495,10
496,10
497,11
498,15
499,9
500,11
501,4
502,13
503,10
504,4
505,10
506,11
507,6
508,3
509,3
510,15
511,15
512,21
513,12
514,37
515,50
516,44
517,89
518,90
519,46
520,61
521,110
522,130
523,39
524,93
525,102
526,111
527,66
528,126
529,146
530,106
531,62
532,106
533,124
534,93
535,71
536,112
537,108
538,109
539,51
540,61
541,71
542,19
543,24
544,15
545,6
546,6
547,12
548,17
549,13
550,20
551,2
552,2
553,3
554,5
555,3
557,2
562,1
564,1
566,1
